iShares Core S&P 500 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,108,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","66,536,640,940.50","8.17","66,536,640,940.50","314,594,047.00","211.50","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","54,632,529,936.08","6.70","54,632,529,936.08","190,065,857.00","287.44","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","40,450,333,896.21","4.96","40,450,333,896.21","96,134,073.00","420.77","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","34,294,627,474.02","4.21","34,294,627,474.02","126,469,106.00","271.17","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","29,997,733,701.16","3.68","29,997,733,701.16","75,373,084.00","397.99","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","25,323,674,582.88","3.11","25,323,674,582.88","61,381,798.00","412.56","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","23,933,644,056.00","2.94","23,933,644,056.00","60,545,520.00","395.30","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","17,465,464,897.14","2.14","17,465,464,897.14","28,315,794.00","616.81","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","14,993,514,797.15","1.84","14,993,514,797.15","36,410,585.00","411.79","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,278,384,472.52","1.38","11,278,384,472.52","23,739,969.00","475.08","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,690,573,639.32","1.31","10,690,573,639.32","34,905,716.00","306.27","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","10,002,026,893.60","1.23","10,002,026,893.60","10,258,910.00","974.96","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","9,422,129,791.90","1.16","9,422,129,791.90","14,571,130.00","646.63","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","8,621,671,565.00","1.06","8,621,671,565.00","21,107,750.00","408.46","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","7,930,327,739.88","0.97","7,930,327,739.88","54,102,386.00","146.58","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","7,388,997,256.20","0.91","7,388,997,256.20","56,751,131.00","130.20","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","6,992,290,049.28","0.86","6,992,290,049.28","21,763,851.00","321.28","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","6,942,133,769.49","0.85","6,942,133,769.49","31,199,199.00","222.51","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","6,663,426,215.04","0.82","6,663,426,215.04","60,786,592.00","109.62","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","5,815,738,018.16","0.71","5,815,738,018.16","5,746,436.00","1,012.06","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","5,395,418,907.33","0.66","5,395,418,907.33","6,023,757.00","895.69","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,281,603,281.90","0.65","5,281,603,281.90","10,543,385.00","500.94","United States","NYSE","USD","1.00","USD","-"
