iShares Russell 2000 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"278,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","1,333,467,144.32","1.70","1,333,467,144.32","5,155,688.00","258.64","United States","NYSE","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","716,830,197.66","0.91","716,830,197.66","3,807,054.00","188.29","United States","NASDAQ","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","571,051,695.57","0.73","571,051,695.57","703,777.00","811.41","United States","NASDAQ","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","533,604,508.80","0.68","533,604,508.80","852,240.00","626.12","United States","NYSE","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","436,393,092.48","0.55","436,393,092.48","24,083,504.00","18.12","United States","NYSE","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","423,224,904.96","0.54","423,224,904.96","530,816.00","797.31","United States","NASDAQ","USD","1.00","USD","-"
"NXT","NEXTPOWER INC CLASS A","Industrials","Equity","415,829,586.54","0.53","415,829,586.54","3,440,589.00","120.86","United States","NASDAQ","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","392,058,811.76","0.50","392,058,811.76","3,197,348.00","122.62","United States","NASDAQ","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","388,139,469.12","0.49","388,139,469.12","8,140,509.00","47.68","United States","NYSE","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","371,376,231.57","0.47","371,376,231.57","2,415,141.00","153.77","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Industrials","Equity","333,205,426.40","0.42","333,205,426.40","1,235,696.00","269.65","United States","NYSE","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","322,680,612.00","0.41","322,680,612.00","2,548,820.00","126.60","United States","NASDAQ","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","313,019,307.34","0.40","313,019,307.34","889,411.00","351.94","United States","NASDAQ","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","298,543,965.09","0.38","298,543,965.09","1,259,201.00","237.09","United States","NASDAQ","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","293,586,806.04","0.37","293,586,806.04","688,589.00","426.36","United States","NYSE","USD","1.00","USD","-"
"VIAV","VIAVI SOLUTIONS INC","Information Technology","Equity","277,784,082.60","0.35","277,784,082.60","5,441,412.00","51.05","United States","NASDAQ","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","270,696,478.52","0.34","270,696,478.52","14,980,436.00","18.07","United States","NYSE","USD","1.00","USD","-"
"DOCN","DIGITALOCEAN HOLDINGS INC","Information Technology","Equity","270,324,665.59","0.34","270,324,665.59","1,797,013.00","150.43","United States","NYSE","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","270,007,008.88","0.34","270,007,008.88","2,926,588.00","92.26","United States","NASDAQ","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","266,847,291.00","0.34","266,847,291.00","2,196,274.00","121.50","United States","NASDAQ","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Information Technology","Equity","265,896,810.36","0.34","265,896,810.36","1,837,827.00","144.68","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","252,034,749.20","0.32","252,034,749.20","3,736,616.00","67.45","United States","NASDAQ","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","248,550,200.75","0.32","248,550,200.75","3,188,585.00","77.95","United States","NASDAQ","USD","1.00","USD","-"
"AAOI","APPLIED OPTOELECTRONICS INC","Information Technology","Equity","245,503,232.80","0.31","245,503,232.80","1,558,256.00","157.55","United States","NASDAQ","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","243,035,688.00","0.31","243,035,688.00","4,263,784.00","57.00","United States","NASDAQ","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","234,225,022.12","0.30","234,225,022.12","2,314,934.00","101.18","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","233,178,919.74","0.30","233,178,919.74","1,135,962.00","205.27","United States","NYSE","USD","1.00","USD","-"
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","233,022,379.73","0.30","233,022,379.73","5,610,941.00","41.53","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","230,335,881.30","0.29","230,335,881.30","1,321,491.00","174.30","United States","NASDAQ","USD","1.00","USD","-"
"PL","PLANET LABS CLASS A","Industrials","Equity","225,092,081.72","0.29","225,092,081.72","6,387,403.00","35.24","United States","NYSE","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","224,948,548.63","0.29","224,948,548.63","1,714,939.00","131.17","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","221,083,132.14","0.28","221,083,132.14","1,066,026.00","207.39","United States","NYSE","USD","1.00","USD","-"
"AGX","ARGAN INC","Industrials","Equity","218,328,420.00","0.28","218,328,420.00","316,418.00","690.00","United States","NYSE","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","215,509,000.36","0.27","215,509,000.36","402,926.00","534.86","United States","NASDAQ","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","214,859,404.76","0.27","214,859,404.76","975,658.00","220.22","United States","NASDAQ","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","210,457,009.58","0.27","210,457,009.58","935,822.00","224.89","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","209,970,173.40","0.27","209,970,173.40","1,736,726.00","120.90","United States","NASDAQ","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","209,733,480.45","0.27","209,733,480.45","663,105.00","316.29","United States","NYSE","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","209,640,947.20","0.27","209,640,947.20","4,226,632.00","49.60","United States","NYSE","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","209,455,544.00","0.27","209,455,544.00","5,302,672.00","39.50","United States","NYSE","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","209,055,997.37","0.27","209,055,997.37","2,814,053.00","74.29","United States","NASDAQ","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","206,736,149.73","0.26","206,736,149.73","2,878,131.00","71.83","United States","NYSE","USD","1.00","USD","-"
